BFP,ponyGE,class
0.135294,0.29383694015184836,0.0
0.216917,0.4017762031536453,0.0
0.293927,0.3252461377775133,0.0
0.22008699999999998,0.6030160492749395,1.0
0.408582,0.38848389455656146,1.0
0.293321,0.5781662466831236,1.0
0.146087,0.4027928891759283,0.0
0.46738100000000005,0.5504855251522621,0.0
0.16205,0.273683751947496,0.0
0.286281,0.5992342802726301,1.0
0.6510640000000001,0.4691122368986476,1.0
0.701318,0.5171936516825678,1.0
0.189496,0.204442560655911,0.0
0.432141,0.45999845806217815,0.0
0.252981,0.2945685534403039,0.0
0.755347,0.6863897779058635,1.0
0.541616,0.39559600710082865,1.0
0.9991530000000001,0.9989063310533165,1.0
0.166549,0.19140219225227176,0.0
0.570542,0.8220243124321734,0.0
0.124891,0.16957368205177392,0.0
0.694002,0.6798871252263141,1.0
0.635256,0.5398770839924111,1.0
0.95376,0.7855528462465863,1.0
0.11292100000000001,0.18835622504952643,0.0
0.142077,0.25880692416247236,0.0
0.43637299999999996,0.40325874260027966,0.0
0.113577,0.34017699535554075,1.0
0.200234,0.5265360126987338,1.0
0.336077,0.5424808542685122,0.0
0.318837,0.4944342372592319,0.0
0.688028,0.5763256980147599,1.0
0.997984,0.9858538675262797,1.0
0.24775,0.39230287452031193,0.0
0.186096,0.25438113457192557,0.0
0.31196399999999996,0.45756261681109434,1.0
0.893065,0.648504925038232,1.0
0.508518,0.48340775060223085,0.0
0.92414,0.6719959415338791,0.0
0.755175,0.5504125561393933,1.0
0.942118,0.7366628148436218,1.0
0.271339,0.4040727553260222,0.0
0.205386,0.2866895999050812,0.0
0.5958680000000001,0.5331516415319671,1.0
0.11929400000000001,0.556511836460814,1.0
0.19233599999999998,0.1234068141032427,0.0
0.358692,0.15414563777561632,0.0
0.6737,0.4810576140697561,1.0
0.6461720000000001,0.4229231558773201,1.0
