BFP,ponyGE,class
0.126193,0.3961057792704382,0.0
0.194881,0.3772258433790168,0.0
0.134494,0.42135580851083515,0.0
0.8432790000000001,0.5401044524026403,1.0
0.5778800000000001,0.46252437579900485,1.0
0.156816,0.39352761498151784,1.0
0.287919,0.2951429940290465,0.0
0.654486,0.9999964523616854,0.0
0.350124,0.6920871325393371,0.0
0.394925,0.22517372353888057,1.0
0.973659,0.8677919128365678,1.0
0.29473499999999997,0.19445448270704413,1.0
0.178071,0.14645048518566722,0.0
0.207887,0.13211675728715053,0.0
0.14207,0.08561920600497239,0.0
0.12453800000000001,0.16182040325498037,1.0
0.491418,0.7321925519157492,1.0
0.947968,0.9992076636293982,1.0
0.11238599999999999,0.31554118029143857,0.0
0.158001,0.39059097785217056,0.0
0.274758,0.4485133101661552,0.0
0.18276900000000001,0.3473424270362408,1.0
0.425871,0.41890845155595396,1.0
0.12416400000000001,0.26419291463025013,0.0
0.09188500000000001,0.22772036449257707,0.0
0.22872399999999998,0.29235245145747163,0.0
0.999983,0.9984099826253974,1.0
0.6633979999999999,0.6439615271500481,1.0
0.31962399999999996,0.46092062497508623,0.0
0.264992,0.363803190202369,0.0
0.9968940000000001,0.838773123432035,1.0
0.9869760000000001,0.7948516486158868,1.0
0.097612,0.33222283560053273,0.0
0.101507,0.3285340136790529,0.0
0.874618,0.7165838413672333,1.0
0.136995,0.33330569168961777,1.0
0.151428,0.29628779840008945,0.0
0.15851099999999999,0.38645868835611946,0.0
0.38897800000000005,0.47984525782536946,1.0
0.255071,0.4202111735324923,1.0
0.200777,0.30429331138339877,0.0
0.129736,0.1837034651301861,0.0
0.47975200000000007,0.4805895991796732,1.0
0.47256400000000004,0.5594090466384309,1.0
0.139951,0.2412290480284765,0.0
0.123102,0.2996025405055288,0.0
0.9042629999999999,0.8398655143203714,1.0
0.9979979999999999,0.9603144644656065,1.0
