BFP,ponyGE,class
0.126193,0.10831589468597509,0.0
0.194881,0.0948179707644847,0.0
0.134494,0.12106499048161798,0.0
0.8432790000000001,0.5373715669219191,1.0
0.5778800000000001,0.16134143679683674,1.0
0.156816,0.12209349188487423,1.0
0.287919,0.11531708634274719,0.0
0.654486,0.13486267373473423,0.0
0.350124,0.12608893588143458,0.0
0.394925,0.10227792427203657,1.0
0.973659,0.43098555337272737,1.0
0.29473499999999997,0.15966649732655502,1.0
0.178071,0.023681878028659016,0.0
0.207887,0.29536713324515235,0.0
0.14207,0.27582914497234806,0.0
0.12453800000000001,0.3039768929695185,1.0
0.491418,0.5149652582551164,1.0
0.947968,0.6219604872687297,1.0
0.11238599999999999,0.203770965876229,0.0
0.158001,0.2524137675809436,0.0
0.274758,0.03875971804585593,0.0
0.18276900000000001,0.2785488191465807,1.0
0.425871,0.3248814343551185,1.0
0.12416400000000001,0.7301489812536796,0.0
0.09188500000000001,0.7200000000000001,0.0
0.22872399999999998,0.7749530807169369,0.0
0.999983,0.7200000000000001,1.0
0.6633979999999999,0.8093557423245368,1.0
0.31962399999999996,0.10894956321607195,0.0
0.264992,0.08138566063622306,0.0
0.9968940000000001,0.6572202454762084,1.0
0.9869760000000001,0.5410358982678632,1.0
0.097612,0.06145881485236911,0.0
0.101507,0.07471336647263592,0.0
0.874618,0.18913011571949112,1.0
0.136995,0.13762112988410227,1.0
0.151428,0.2393915852344961,0.0
0.15851099999999999,0.2126618783514404,0.0
0.38897800000000005,0.2748159503929166,1.0
0.255071,0.18838487471372634,1.0
0.200777,0.1411874594981875,0.0
0.129736,0.21558894991498567,0.0
0.47975200000000007,0.36849540690082794,1.0
0.47256400000000004,0.3470237636005317,1.0
0.139951,0.20871789408862698,0.0
0.123102,0.20738064471015116,0.0
0.9042629999999999,0.6214590257780785,1.0
0.9979979999999999,0.5577101990569623,1.0
